On The Floor [Jennifer Lopez];I Love It (feat. Charli XCX) [Icona Pop];On Top Of The World [Imagine Dragons];Rain Over Me (feat. Marc Anthony) [Pitbull];Ai Se Eu Te Pego [Various Artists]
Sweet Caroline [Neil Diamond];Beauty And A Beat [Justin Bieber];I Was Made For Lovin' You [KISS];Espresso [Sabrina Carpenter];Blinding Lights [The Weeknd]
...Baby One More Time [Britney Spears];I Can Do It With a Broken Heart [Taylor Swift];Unwritten [Natasha Bedingfield];Mamma Mia [ABBA];Crazy Little Thing Called Love - Remastered 2011 [Queen]
