Down Bad [Taylor Swift];Hymn for the Weekend [Coldplay];Girls [The Dare];Mamma Mia [ABBA];Temperature [Sean Paul]
I Gotta Feeling [Black Eyed Peas];Espresso [Sabrina Carpenter];Super Bass [Nicki Minaj];Like a Prayer [Madonna];Get Busy [Sean Paul]
Sweet Dreams (Are Made of This) - Remastered [Eurythmics];Don't Stop Believin' [Journey];FE!N (feat. Playboi Carti) [Travis Scott];HOT TO GO! [Chappell Roan];We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte) [Pitbull]
